ID;Nombre;Ciudad;Pais;IATA;ICAO;Latitud;Longitud;Altitud;Timezone;DST
1051;Fuerteventura Airport;Fuerteventura;Spain;FUE;GCFV;28.45269966;-13.86380005;85.0;0.0;E
1052;Hierro Airport;Hierro;Spain;VDE;GCHI;27.81480026;-17.88710022;103.0;0.0;E
1053;La Palma Airport;Santa Cruz De La Palma;Spain;SPC;GCLA;28.626499;-17.7556;107.0;0.0;E
1054;Gran Canaria Airport;Gran Canaria;Spain;LPA;GCLP;27.93190002;-15.38659954;78.0;0.0;E
1055;Lanzarote Airport;Arrecife;Spain;ACE;GCRR;28.945499;-13.6052;46.0;0.0;E
1056;Tenerife South Airport;Tenerife;Spain;TFS;GCTS;28.04450035;-16.57250023;209.0;0.0;E
1057;Tenerife Norte Airport;Tenerife;Spain;TFN;GCXO;28.48270035;-16.34149933;2076.0;0.0;E
1058;Melilla Airport;Melilla;Spain;MLN;GEML;35.27980042;-2.956259966;156.0;1.0;E
1211;Albacete-Los Llanos Airport;Albacete;Spain;ABC;LEAB;38.94850159;-1.863520026;2302.0;1.0;E
1212;Alicante International Airport;Alicante;Spain;ALC;LEAL;38.28219986;-0.558156013;142.0;1.0;E
1213;Almería International Airport;Almeria;Spain;LEI;LEAM;36.84389877;-2.370100021;70.0;1.0;E
1214;Asturias Airport;Aviles;Spain;OVD;LEAS;43.56359863;-6.034619808;416.0;1.0;E
1215;Córdoba Airport;Cordoba;Spain;ODB;LEBA;37.84199905;-4.848879814;297.0;1.0;E
1216;Bilbao Airport;Bilbao;Spain;BIO;LEBB;43.30110168;-2.910609961;138.0;1.0;E
1218;Barcelona International Airport;Barcelona;Spain;BCN;LEBL;41.2971;2.07846;12.0;1.0;E
1219;Badajoz Airport;Badajoz;Spain;BJZ;LEBZ;38.8913002;-6.82133007;609.0;1.0;E
1220;A Coruña Airport;La Coruna;Spain;LCG;LECO;43.302101;-8.37726;326.0;1.0;E
