codine;municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
28079;Madrid;3280782;3305408;3334730;3266126;3223334;3182981;3165541;3141991;3165235;3207247;3233527;3265038;3273049;3255944;3213271;3132463;3128600;3155359;3099834;3092759;3016788;2957058;2882860;2879052;2881506
08019;Barcelona;1636193;1636732;1664182;1636762;1620343;1620809;1608746;1604555;1602386;1611822;1620943;1615448;1619337;1621537;1615908;1595110;1605602;1593075;1578546;1582738;1527190;1505325;1496266;1503451;1505581
27028;Lugo;97211;97613;98519;98276;98025;97995;98268;98134;98560;98761;98457;98007;97635;96678;95416;93853;93450;92271;91426;91158;89509;88901;88235;87480;86620
42173;Soria;39450;39695;39821;39398;39112;38881;39171;39168;39516;39753;40147;39987;39838;39528;39078;38205;38004;37200;35769;35178;35112;34640;34088;34045;33882
38038;Santa Cruz de Tenerife;208688;208563;209194;207312;204856;203692;203585;203811;205279;206593;206965;222271;222643;222417;221956;220902;223148;221567;219446;220022;217415;214153;215132;213050;211930
46078;Burjassot;38880;38712;38632;38024;37584;37575;37324;37546;37641;38148;38175;38205;38170;38433;37667;37402;37756;37394;37330;37213;36168;35682;35171;34869;34426
46126;Foios;7496;7502;7452;7367;7342;7234;7208;7199;7094;7078;7034;6962;6781;6671;6477;6358;6287;6193;6035;5906;5695;5434;5372;5304;5265
46248;Turís;7019;6910;6722;6646;6623;6627;6609;6528;6588;6678;6637;6529;6546;6499;6317;6053;5788;5556;5305;5100;4954;4804;4733;4655;4560
46250;València;792492;789744;800215;794288;791413;787808;790201;786189;786424;792303;797028;798033;809267;814208;807200;797654;805304;796549;785732;780653;761871;746612;739014;739412;739412
48020;Bilbao;344127;346405;350184;346843;345821;345110;345122;345141;346574;349356;351629;352700;353187;354860;353340;353168;354145;353173;352317;353567;353950;353943;354271;357589;358467
